區域,廠區,客戶別,Ngày tháng,產品類型,Linh kiện,SN Number,Hiện tượng,維修方式,Hạng mục lỗi,維修數量,維修工時,節省金額/USD,結果
CHV,CHVP2,A31,2025-03-05,TypeC類,TypeC2,TPE-20221205-066,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-05,TypeC類,TypeC2,TPE-20221205-091,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-05,TypeC類,TypeC2,TPE-20221205-082,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-05,TypeC類,TypeC2,TPE-20221205-245,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-05,TypeC類,TypeC2,TPE-20210315-093,接口損壞,更換CONN,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-05,TypeC類,TypeC2,TPE-20210315-274,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-05,TypeC類,TypeC2,TPE-20210315-008,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-11,TypeC類,TypeC2,TPE-20221205-225,接口損壞,重新焊接，检查端口,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-11,TypeC類,TypeC2,TPE-20210315-053,接口損壞,重新焊接，检查端口,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-11,TypeC類,TypeC2,TPE-20221205-252,接口損壞,重新焊接，检查端口,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-11,TypeC類,TypeC2,TPE-20210315-054,接口損壞,重新焊接，检查端口,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-11,TypeC類,TypeC2,TPE-20221205-262,接口損壞,重新焊接，检查端口,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-11,TypeC類,TypeC2,TPE-20221205-052,接口損壞,重新焊接，检查端口,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-11,TypeC類,TypeC2,TPE-20221205-280,接口損壞,重新焊接，检查端口,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-11,TypeC類,TypeC3 Plus,TPE-20241016-027,ESD損壞,更换ESD ,自然磨損,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-12,DP類 ,DP1.4,TPE-20210623-011,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-12,DP類 ,DP1.4,TPE-20210623-043,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.5,,OK
CHV,CHVP2,A31,2025-03-12,DP類 ,DP1.4,TPE-20210623-054,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-12,DP類 ,DP1.4,TPE-20210623-082,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-12,DP類 ,DP1.4,TPE-20210623-088,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-13,HDMI類,HDMI2.0,TPE-20230822-006,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-13,HDMI類,HDMI2.0,TPE-20211109-072,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-13,HDMI類,HDMI2.1,TPE-20230425-048,接口損壞,"更換CONN, 更换IC",自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-13,USB類,簡易USB,TPE-20190828-217,IC損壞,更换IC USD12,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-14,HDMI類,HDMI2.1,TPE-20231201-006,接口損壞,"更換CONN, 更换IC",自然磨損,1.0,3.0,,OK
CHV,CHVP2,A31,2025-03-14,TypeC類,TypeC3 Plus,TPE-20250211-128,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-14,TypeC類,TypeC3 Plus,TPE-20250211-164,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-14,TypeC類,TypeC3 Plus,TPE-20250211-156,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-14,TypeC類,TypeC3 Plus,TPE-20250211-118,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-17,TypeC類,TypeC2,TPE-20221205-069,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-17,TypeC類,TypeC2,TPE-20210315-084,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-17,TypeC類,TypeC3,TPE-20240527-189,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-19,TypeC類,USB TypeC,TPE-20190123-106,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-19,TypeC類,USB TypeC,TPE-20190123-108,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-19,TypeC類,USB TypeC,TPE-20190123-109,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-25,DP類 ,DP1.4,TPE-20210623-031,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-25,DP類 ,DP1.4,TPE-20210623-072,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-25,HDMI類,HDMI2.0,TPE-20230822-062,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-25,HDMI類,HDMI2.0,TPE-20230822-037,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-26,TypeC類,TypeC3,TPE-20240527-142,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-26,TypeC類,TypeC3,TPE-20240527-255,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-26,TypeC類,TypeC3,TPE-20240527-258,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-26,TypeC類,TypeC3,TPE-20240527-263,FW更新,FW更新,FW更新,1.0,0.5,,OK
CHV,CHVP2,A31,2025-03-28,TypeC類,TypeC2,TPE-20210315-001,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-28,TypeC類,TypeC2,TPE-20210315-094,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-31,TypeC類,TypeC2,TPE-20221205-244,接口損壞,重新焊接，检查端口,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-31,TypeC類,TypeC2,TPE-20221205-222,接口損壞,重新焊接，检查端口,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-03-31,TypeC類,TypeC2,TPE-20210315-102,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-01,TypeC類,TypeC2,TPE-20221205-175,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-01,TypeC類,TypeC2,TPE-20221205-036,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-03,TypeC類,TypeC2,TPE-20210315-022,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-07,TypeC類,TypeC2,TPE-20221205-076,接口損壞,更換CONN+FW更新,自然磨損,1.0,3.0,,OK
CHV,CHVP2,A31,2025-04-07,DP類 ,DP1.4,TPE-20240215-078,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-07,DP類 ,DP1.4,TPE-20230426-055,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-11,HDMI類,HDMI2.1,TPE-20230816-069,解析度不对,調整解析度,人為誤判,1.0,0.5,,OK
CHV,CHVP2,A31,2025-04-11,TypeC類,TypeC2,TPE-20221205-218,接口損壞,更換CONN+FW更新,自然磨損,1.0,3.0,,OK
CHV,CHVP2,A31,2025-04-12,DP類 ,DP1.4,TPE-20210623-052,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-13,DP類 ,DP1.4,TPE-20210623-020,SD卡損壞,重新焊接，检查SD 卡端口,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-04-13,DP類 ,DP1.4,TPE-20210623-011,SD卡損壞,重新焊接，检查SD 卡端口,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-04-15,DP類 ,DP1.4,TPE-20210623-067,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-15,DP類 ,DP1.4,TPE-20210623-001,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-15,TypeC類,TypeC3 Plus,TPE-20250211-005,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-15,TypeC類,TypeC3 Plus,TPE-20250211-154,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-15,TypeC類,TypeC3 Plus,TPE-20250211-083,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-15,TypeC類,TypeC3 Plus,TPE-20250211-092,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-15,TypeC類,TypeC3 Plus,TPE-20250211-058,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-15,TypeC類,TypeC3 Plus,TPE-20250211-046,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-17,HDMI類,HDMI2.0,TPE-20230822-046,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-21,VSB類,VSB DP,TPE-20220213-059,接口損壞,重焊接,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-22,HDMI類,HDMI2.1,TPE-20231201-001,解析度不对,調整解析度,人為誤判,1.0,0.5,,OK
CHV,CHVP2,A31,2025-04-22,TypeC類,TypeC3 Plus,TPE-20250211-016,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-22,TypeC類,TypeC3 Plus,TPE-20250211-140,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-22,VSB類,VSB DP,TPE-20220213-079,接口損壞,重焊接,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-22,VSB類,VSB DP,TPE-20220213-095,接口損壞,重焊接,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-24,TypeC類,TypeC2,TPE-20221205-002,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-24,TypeC類,TypeC2,TPE-20221205-086,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-24,TypeC類,TypeC2,TPE-20221205-076,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-24,TypeC類,TypeC2,TPE-20210315-056,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-24,TypeC類,TypeC2,TPE-20221205-051,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-24,TypeC類,TypeC2,TPE-20210315-266,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-24,TypeC類,TypeC2,TPE-20221205-091,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-24,TypeC類,TypeC2,TPE-20221205-066,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-24,TypeC類,TypeC2,TPE-20210315-112,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-24,TypeC類,TypeC2,TPE-20210315-018,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-24,TypeC類,TypeC2,TPE-20210315-049,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-24,TypeC類,TypeC2,TPE-20210315-004,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-25,TypeC類,TypeC2,TPE-20210315-043,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-25,TypeC類,TypeC2,TPE-20221205-244,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-25,TypeC類,TypeC2,TPE-20210315-125,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-25,TypeC類,TypeC2,TPE-20210315-030,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-25,TypeC類,TypeC2,TPE-20221205-190,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-25,TypeC類,TypeC2,TPE-20210315-084,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-25,TypeC類,TypeC2,TPE-20210315-032,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-25,TypeC類,TypeC2,TPE-20210315-003,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-25,TypeC類,TypeC2,TPE-20221205-093,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-25,TypeC類,TypeC2,TPE-20210315-273,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-25,TypeC類,TypeC2,TPE-20221205-262,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-28,TypeC類,TypeC2,TPE-20221205-252,ESD損壞,更換 ESD,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-28,TypeC類,TypeC2,TPE-20221205-274,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-28,TypeC類,TypeC2,TPE-20221205-268,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-28,TypeC類,TypeC2,TPE-20210315-128,ESD損壞,更換 ESD,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-28,TypeC類,TypeC3,TPE-20240527-277,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-28,TypeC類,TypeC2,TPE-20210315-106,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-29,HDMI類,HDMI2.0,TPE-20201109-054,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-29,HDMI類,HDMI2.0,TPE-20230822-061,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-29,USB類,簡易USB,TPE-20190828-165,接口損壞,更換CONN,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-29,VSB類,VSB DP,TPE-20250213-069,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-30,TypeC類,TypeC3,TPE-20240527-290,SSD卡損壞,换SSD 卡,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-30,TypeC類,TypeC3,TPE-20240527-158,SSD卡損壞,换SSD 卡,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-30,TypeC類,TypeC2,TPE-20210315-028,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-30,TypeC類,TypeC2,TPE-20210315-129,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-04-30,HDMI類,HDMI2.0,TPE-20230822-064,IC損壞,换IC RDU2,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-01,VSB類,VSB DP,TPE-20250213-046,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-01,VSB類,VSB DP,TPE-20250102-047,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-01,VSB類,VSB DP,TPE-20250102-049,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-01,TypeC類,TypeC2,TPE-20210315-103,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-02,TypeC類,TypeC2,TPE-20210315-055,接口損壞,更換CONN+FW更新,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-02,VSB類,VSB DP,TPE-20250102-043,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-02,DP類 ,DP1.4,TPE-20240215-067,接口損壞,更換CONN,自然磨損,1.0,3.0,,OK
CHV,CHVP2,A31,2025-05-02,DP類 ,DP1.4,TPE-20240215-086,接口損壞,更換CONN,自然磨損,1.0,3.0,,OK
CHV,CHVP2,A31,2025-05-03,VSB類,VSB DP,TPE-20250213-009,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-03,TypeC類,TypeC2,TPE-20210315-111,接口損壞,更換CONN+换IC DPU2,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-05,TypeC類,TypeC2,TPE-20210315-106,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-05,TypeC類,TypeC2,TPE-20221205-233,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-05,TypeC類,TypeC2,TPE-20221205-256,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-05,TypeC類,TypeC2,TPE-20221205-225,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-05,TypeC類,TypeC2,TPE-20210315-031,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-06,VSB類,VSB DP,TPE-20250213-064,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-06,VSB類,VSB DP,TPE-20250213-005,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-06,VSB類,VSB DP,TPE-20250102-065,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-06,VSB類,VSB DP,TPE-20250213-072,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-08,DP類 ,DP1.4,TPE-20230426-053,SD卡損壞,换SD卡。2.0 版本,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-08,DP類 ,DP1.4,TPE-20210623-080,SD卡損壞,换SD卡。2.0 版本,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-08,TypeC類,TypeC3,TPE-20240527-129,FW更新,更新4.90.3 版本,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-10,HDMI類,HDMI2.1,TPE-20250418-006,SSD卡損壞,format SSD & log data 更新20 版本,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-10,DP類 ,DP1.4,TPE-20210623-031,SD卡損壞,更换 SD 删除 log,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-13,HDMI類,HDMI2.1,TPE-20230816-019,接口損壞,删除 log& 重焊接口,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-13,HDMI類,HDMI2.1,TPE-20241023-086,接口損壞,删除 log& 重焊接口,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-14,DP類 ,DP1.4,TPE-20240215-073,接口損壞,更換CONN& 跳线,自然磨損,1.0,4.0,,OK
CHV,CHVP2,A31,2025-05-15,DP類 ,DP1.1,TPE-20191104-086,接口損壞,更換CONN&跳线,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-15,VSB類,VSB DP,TPE-20250102-055,接口損壞,更換CONN&跳线,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-16,DP類 ,DP1.4,TPE-20210623-038,SD卡損壞,换SD卡。2.0 版本,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-16,HDMI類,HDMI2.0,TPE-20230822-303,接口損壞,重焊接& update 06ROM,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-19,HDMI類,HDMI2.0,TPE-20230822-019,接口損壞,重焊接& update 06ROM,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-19,TypeC類,TypeC3,TPE-20240527-216,FW更新,更新4.90.3 版本,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-19,TypeC類,TypeC3,TPE-20230710-057,FW更新,更新4.90.3 版本,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-20,DP類 ,DP1.4,TPE-20210623-059,SD卡損壞,换SD卡。2.0 版本,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-21,USB類,簡易USB,TPE-20190828-273,接口損壞,"更換CONN, 更换IC USU6,7",自然磨損,1.0,4.0,,OK
CHV,CHVP2,A31,2025-05-21,USB類,簡易USB,TPE-20190828-177,接口損壞,"更換CONN, 更换IC ",自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-05-22,DP類 ,DP1.4,TPE-20210623-003,SD卡損壞,换SD卡。2.0 版本,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-22,DP類 ,DP1.4,TPE-20210623-093,SD卡損壞,换SD卡。2.0 版本,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-22,HDMI類,HDMI2.1,TPE-20230816-066,FW更新,删除 log&更新3.6.20B 版本,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-22,HDMI類,HDMI2.1,TPE-20231201-020,FW更新,删除 log&更新3.6.20B 版本,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-22,TypeC類,TypeC2,TPE-20221205-095,接口損壞,重焊接,焊接不好,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-22,TypeC類,TypeC2,TPE-20221205-077,接口損壞,换接口,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-22,TypeC類,TypeC2,TPE-20221205-057,接口損壞,换接口,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-24,TypeC類,TypeC2,TPE-20221205-041,接口損壞,"换接口, 更新FW",自然磨損,1.0,3.0,,OK
CHV,CHVP2,A31,2025-05-24,TypeC類,TypeC2,TPE-20210315-016,接口損壞,"换接口, 更新FW",自然磨損,1.0,3.0,,OK
CHV,CHVP2,A31,2025-05-24,TypeC類,TypeC2,TPE-20210315-058,接口損壞,"换接口, 更新FW",自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-26,HDMI類,HDMI2.0,TPE-20221121-109,FW更新,更新file，06ROM,FW更新,1.0,2.0,,OK
CHV,CHVP2,A31,2025-05-26,HDMI類,HDMI2.0,TPE-20221121-004,IC損壞,换IC RDU2,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-05-26,HDMI類,HDMI2.0,TPE-20221121-053,FW更新,更新file，06ROM,FW更新,1.0,2.0,,OK
CHV,CHVP2,A31,2025-05-26,HDMI類,HDMI2.0,TPE-20221121-015,FW更新,更新file，06ROM,FW更新,1.0,2.0,,OK
CHV,CHVP2,A31,2025-05-27,HDMI類,HDMI2.1,TPE-20230816-007,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-27,HDMI類,HDMI2.1,TPE-20250418-012,NTF,NTF,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-27,DP類 ,DP1.4,TPE-20210623-014,SD卡損壞,换SD卡。2.0 版本,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-05-27,HDMI類,HDMI2.0,TPE-20191014-166,IC損壞,换IC RDU2，更新 06ROM,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-05-27,HDMI類,HDMI2.0,TPE-20201109-046,IC損壞,换IC RDU2，更新 06ROM,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-05-30,TypeC類,TypeC2,TPE-20221205-108,接口損壞,"换接口, 更新FW,换IC ",自然磨損,1.0,8.0,,OK
CHV,CHVP2,A31,2025-05-30,TypeC類,TypeC2,TPE-20221205-225,接口損壞,"换接口, 更新FW,换IC ",自然磨損,1.0,8.0,,OK
CHV,CHVP2,A31,2025-06-03,TypeC類,TypeC2,TPE-20210315-026,接口損壞,重焊接,焊接不好,1.0,2.0,,OK
CHV,CHVP2,A31,2025-06-03,TypeC類,TypeC2,TPE-20210315-028,接口損壞,重焊接,焊接不好,1.0,2.0,,OK
CHV,CHVP2,A31,2025-06-06,DP類 ,DP1.4,TPE-20210623-023,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-06-06,DP類 ,DP1.4,TPE-20210623-052,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-06-06,TypeC類,TypeC3 Plus,TPE-20250211-010,SSD卡損壞,format &reset disk,自然磨損,1.0,1.0,,OK
CHV,CHVP2,A31,2025-06-07,HDMI類,HDMI2.1,TPE-20230816-056,解析度不对,删除 log&调整解析度,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-06-12,TypeC類,TypeC3,TPE-20240527-258,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-06-12,TypeC類,TypeC3,TPE-20240527-193,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-06-12,HDMI類,HDMI2.1,TPE-20230425-066,解析度不对,删除 log&调整解析度,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-06-12,HDMI類,HDMI2.1,TPE-20230425-079,解析度不对,"删除 log&调整解析度,更新3.6.20版本",人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-06-12,HDMI類,HDMI2.1,TPE-20250418-024,解析度不对,删除 log&调整解析度,人為誤判,1.0,1.0,,OK
CHV,CHVP2,A31,2025-06-13,HDMI類,HDMI2.0,TPE-20201109-010,FW更新,FW更新,FW更新,1.0,1.0,,OK
CHV,CHVP2,A31,2025-06-13,USB類,簡易USB,KS-20190313-250,接口損壞,更換CONN,自然磨損,1.0,2.0,,OK
CHV,CHVP2,A31,2025-06-13,TypeC類,TypeC2,TPE-20210315-052,接口損壞,重焊接,焊接不好,1.0,2.0,,OK
